Observation,x1,x2,x3
1,33,371,189
2,28,752,
3,24,673,204
4,17,,151
5,20,66,191
6,15,641,140
7,37,596,187
8,23,442,128
9,23,470,119
10,22,896,148
11,26,657,140
12,39,62,128
13,14,608,108
14,20,84,155
15,24,452,166
16,37,207,213
17,6,999,156
18,17,854,118
19,19,594,158
20,36,842,141
21,,850,162
22,16,744,117
23,14,939,134
24,17,695,177
25,16,340,117
26,15,#NAME?,
27,19,326,139
28,23,558,166
29,23,740,120
30,26,81,
31,22,50,142
32,24,720,130
33,14,673,131
34,#NAME?,173,160
35,26,507,98
36,43,768,140
37,27,786,166
38,34,677,167
39,31,688,146
40,38,735,143
41,6,992,150
42,24,405,132
43,27,370,101
44,28,46,135
45,25,583,112
46,41,71,94
47,12,748,155
48,11,480,140
49,18,848,171
50,21,180,157
51,2,335,166
52,14,,123
53,23,679,138
54,9,165,99
55,36,540,211
56,26,626,95
57,25,620,153
58,18,410,158
59,4,257,144
60,16,552,132
61,12,807,140
62,25,492,156
63,9,845,
64,14,259,148
65,25,91,192
66,11,610,201
67,26,922,170
68,12,134,119
69,25,540,114
70,57,218,154
71,19,642,124
72,22,227,130
73,30,987,133
74,8,326,189
75,33,564,178
76,20,37,160
77,14,865,157
78,33,966,163
79,24,203,159
80,13,254,
81,8,863,163
82,7,430,160
83,20,,140
84,28,510,159
85,14,290,128
86,19,750,169
87,18,412,137
88,28,629,139
89,22,167,125
90,35,842,126
91,38,180,151
